Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,1 494,1 053,146,0,0,0,16,0,60
Baja California,2 596,3 698,315,13,0,0,41,3,505
Baja California Sur,399,507,88,0,0,0,99,0,0
Campeche,1 001,358,194,92,38,2,123,41,250
Coahuila,1 451,4 754,3 124,220,0,0,13,0,481
Colima,613,556,23,0,0,0,3,10,26
Chiapas,4 049,1 827,1 537,640,0,54,183,3,298
Chihuahua,1 323,4 138,310,188,0,0,38,0,1 920
Distrito Federal,10 636,4 619,7 754,0,210,99,655,32,468
Durango,1 811,2 413,3 110,187,0,0,50,0,80
Guanajuato,5 663,5 116,483,35,0,13,55,0,530
Guerrero,4 992,1 985,1 522,81,0,0,7,117,0
Hidalgo,2 106,727,296,417,0,29,44,0,57
Jalisco,4 794,8 899,513,72,165,15,74,2,5 780
México,10 546,8 092,2 914,12,3 132,191,355,0,2 503
Michoacán,3 002,1 481,703,395,0,0,60,13,0
Morelos,1 847,2 153,1 864,11,0,0,143,0,0
Nayarit,811,602,847,80,107,0,4,0,11
Nuevo León,1 810,3 257,262,0,0,29,96,0,2 682
Oaxaca,3 637,1 096,1 059,789,29,55,178,56,123
Puebla,3 408,6 123,1 674,558,85,6,13,0,847
Querétaro,1 306,1 331,98,3,3,0,0,0,54
Quintana Roo,474,224,263,0,0,0,24,0,0
San Luis Potosí,2 879,2 947,747,495,0,0,238,0,78
Sinaloa,3 062,2 199,288,111,365,6,197,92,1 126
Sonora,2 747,2 675,481,48,0,0,125,40,46
Tabasco,2 590,643,237,0,0,120,92,19,546
Tamaulipas,3 240,3 396,614,124,9,125,98,1,92
Tlaxcala,1 031,709,279,0,2,0,109,0,0
Veracruz,5 811,2 818,365,1 414,295,262,169,62,0
Yucatán,1 624,1 743,851,580,3,0,10,0,120
Zacatecas,1 134,704,202,301,66,0,6,0,0
