Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,1411,751,194,0,0,0,0,0,63
Baja California,1710,5098,351,19,0,0,19,0,259
Baja California Sur,386,662,172,0,0,0,10,15,0
Campeche,884,256,203,87,29,5,49,65,19
Coahuila,1257,5489,2624,170,0,0,0,0,813
Colima,515,487,27,0,2,0,10,4,12
Chiapas,3148,2881,898,669,0,1,206,7,263
Chihuahua,1149,6543,392,97,0,0,0,0,1050
Distrito Federal,10061,4341,7546,0,85,126,951,59,1050
Durango,1406,2735,1833,172,0,0,48,0,24
Guanajuato,4023,7215,590,0,0,21,25,0,93
Guerrero,4305,2344,2249,0,0,0,41,173,0
Hidalgo,2013,699,266,304,0,19,14,0,149
Jalisco,4952,10620,574,0,190,33,161,0,5650
México,9408,8795,2930,0,2495,114,785,0,2694
Michoacán,3071,1536,730,475,0,0,0,18,0
Morelos,1845,2231,2175,0,0,0,0,0,0
Nayarit,758,640,988,92,113,0,21,1,17
Nuevo León,2924,2998,341,0,0,10,54,0,2245
Oaxaca,2344,1065,1111,746,0,58,286,52,40
Puebla,3601,5390,1657,391,31,2,16,0,992
Querétaro,1495,1829,102,0,3,0,0,0,40
Quintana Roo,506,206,220,0,0,0,19,2,0
San Luis Potosí,2236,3335,580,464,0,1,161,0,17
Sinaloa,2143,2956,225,75,453,18,168,48,1323
Sonora,2528,3131,156,11,0,0,159,21,788
Tabasco,2387,1323,175,0,0,71,89,6,366
Tamaulipas,3150,4656,830,336,0,89,17,2,26
Tlaxcala,859,711,225,0,0,0,32,0,2
Veracruz,5408,3713,404,1166,185,276,110,34,0
Yucatán,1388,3362,295,526,8,0,4,1,250
Zacatecas,979,1332,192,292,58,0,10,0,5
