Estado ,Salud ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes ,  808 ,  731 ,  700 ,S.R. ,  7 ,S.R. ,  0 ,S.R. , 1 028
Baja California , 2 509 , 3 588 ,  444 ,  32 ,S.R. ,S.R. ,  5 ,  9 ,  639
Baja California Sur ,  583 ,  430 ,  86 ,S.R. ,S.R. ,S.R. ,  1 ,  1 ,S.R.
Campeche ,  338 ,  288 ,  75 ,  85 ,  0 ,  36 ,  0 ,  7 ,  25
Coahuila ,  561 , 1 708 , 3 119 ,  143 ,  83 ,S.R. ,  4 ,S.R. ,  715
Colima ,  346 ,  499 ,  5 ,S.R. ,  1 ,S.R. ,  1 ,  2 ,  42
Chiapas , 1 587 , 1 556 ,  934 ,  429 ,S.R. ,  28 ,  2 ,  9 ,  112
Chihuahua , 2 118 , 3 048 ,  502 ,  124 ,S.R. ,S.R. ,  94 ,S.R. , 1 617
Distrito Federal , 5 009 , 3 045 , 3 001 ,  26 ,  67 ,  180 ,  170 ,  57 ,  721
Durango ,  380 , 1 171 , 1 029 ,  153 ,  0 ,S.R. ,  10 ,  0 ,  354
Guanajuato , 2 908 , 2 361 ,  427 ,  13 ,S.R. ,  65 ,  59 ,S.R. ,  323
Guerrero , 2 083 , 1 565 , 1 241 ,  102 ,S.R. ,S.R. ,  22 ,  38 ,  0
Hidalgo , 1 665 ,  899 ,  697 ,  251 ,  0 ,  68 ,  0 ,S.R. ,  26
Jalisco , 2 489 , 5 630 , 1 640 ,  14 ,  27 ,  11 ,  94 ,  0 , 3 316
México , 10 601 , 5 300 , 2 778 ,  51 , 1 662 ,S.R. ,  178 ,S.R. , 3 591
Michoacán , 1 268 , 1 694 , 1 567 ,  486 ,S.R. ,S.R. ,  1 ,  4 ,S.R.
Morelos ,  909 , 2 048 , 1 323 ,  6 ,S.R. ,S.R. ,  8 ,S.R. ,S.R.
Nayarit ,  423 ,  431 ,  843 ,  106 ,  31 ,S.R. ,  0 ,  2 ,  29
Nuevo León , 1 181 , 4 134 ,  341 ,  3 ,S.R. ,  57 ,  34 ,S.R. , 1 063
Oaxaca , 1 648 ,  945 , 1 326 ,  695 ,  29 ,  74 ,  11 ,  10 ,  89
Puebla , 1 800 , 2 331 ,  589 ,  492 ,  26 ,  30 ,  4 ,S.R. ,  585
Querétaro , 1 053 ,  868 ,  189 ,  2 ,  5 ,S.R. ,  14 ,S.R. ,  186
Quintana Roo ,  515 ,  528 ,  179 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,  0
San Luis Potosí , 1 545 , 1 826 ,  711 ,  447 ,S.R. ,  6 ,  18 ,S.R. ,  137
Sinaloa , 3 562 , 2 182 ,  359 ,  159 ,  134 ,  2 ,  2 ,  19 ,  692
Sonora , 1 096 , 2 573 ,  475 ,  4 ,S.R. ,S.R. ,  3 ,  7 ,  186
Tabasco , 1 067 , 1 341 ,  443 ,S.R. ,S.R. ,  252 ,  18 ,  7 ,  353
Tamaulipas , 1 776 , 2 251 , 1 758 ,  119 ,  2 ,  179 ,  9 ,  50 ,  72
Tlaxcala ,  428 ,  771 ,  335 ,  17 ,  142 ,S.R. ,  4 ,S.R. ,  4
Veracruz , 2 451 , 4 809 , 1 411 ,  702 ,  48 ,  415 ,  149 ,  173 ,  57
Yucatán ,  637 ,  987 ,  499 ,  217 ,  4 ,S.R. ,  67 ,  0 ,  169
Zacatecas ,  668 ,  565 ,  115 ,  262 ,  32 ,S.R. ,  15 ,S.R. ,  102
