Estado ,Salud ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes ,  690 ,  831 ,  626 ,S.R. ,  6 ,S.R. ,  1 ,S.R. ,  838
Baja California , 2 303 , 3 533 ,  556 ,  38 ,S.R. ,S.R. ,  7 ,  29 , 1 291
Baja California Sur ,  371 ,  518 ,  83 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,S.R.
Campeche ,  321 ,  247 ,  115 ,  71 ,  0 ,  20 ,  0 ,  15 ,  0
Coahuila ,  377 , 2 030 , 1 282 ,  122 ,  154 ,S.R. ,  15 ,S.R. ,  538
Colima ,  317 ,  459 ,  24 ,S.R. ,  13 ,S.R. ,  1 ,  12 ,  44
Chiapas , 1 800 , 1 387 ,  775 ,  365 ,S.R. ,  20 ,  0 ,  12 ,  120
Chihuahua , 1 709 , 2 155 ,  447 ,  115 ,S.R. ,S.R. ,  12 ,S.R. , 1 418
Distrito Federal , 5 136 , 2 756 , 2 871 ,  23 ,  79 ,  105 ,  81 ,  34 ,  760
Durango ,  342 ,  934 , 1 591 ,  175 ,  0 ,S.R. ,  67 ,  0 ,  336
Guanajuato , 2 598 , 2 307 ,  369 ,  32 ,S.R. ,  76 ,  25 ,S.R. ,  435
Guerrero , 2 904 , 1 205 ,  973 ,  80 ,S.R. ,S.R. ,  16 ,  37 ,  0
Hidalgo , 1 555 ,  872 ,  556 ,  229 ,  0 ,  46 ,  0 ,S.R. ,  19
Jalisco , 2 687 , 4 162 , 1 630 ,  10 ,  44 ,  11 ,  11 ,  1 , 2 996
México , 10 869 , 5 076 , 2 740 ,  55 , 1 584 ,S.R. ,  72 ,S.R. , 3 700
Michoacán , 1 331 , 1 660 , 1 749 ,  381 ,S.R. ,S.R. ,  0 ,  14 ,S.R.
Morelos ,  985 , 2 236 , 1 664 ,  8 ,S.R. ,S.R. ,  13 ,S.R. ,S.R.
Nayarit ,  366 ,  444 ,  593 ,  65 ,  40 ,S.R. ,  0 ,  0 ,  27
Nuevo León , 1 236 , 4 272 ,  170 ,  1 ,S.R. ,  50 ,  2 ,S.R. , 1 328
Oaxaca , 1 879 ,  743 ,  898 ,  552 ,  21 ,  115 ,  0 ,  8 ,  65
Puebla , 1 755 , 2 038 ,  417 ,  338 ,  19 ,  21 ,  0 ,S.R. ,  765
Querétaro ,  992 ,  810 ,  102 ,  5 ,  3 ,S.R. ,  7 ,S.R. ,  125
Quintana Roo ,  613 ,  640 ,  155 ,S.R. ,S.R. ,S.R. ,  0 ,  2 ,  0
San Luis Potosí , 1 139 , 2 090 ,  751 ,  423 ,S.R. ,  4 ,  8 ,S.R. ,  158
Sinaloa , 3 486 , 2 136 ,  351 ,  136 ,  70 ,  4 ,  4 ,  16 ,  887
Sonora ,  903 , 2 746 ,  475 ,  0 ,S.R. ,S.R. ,  22 ,  1 ,  156
Tabasco ,  993 , 1 071 ,  424 ,S.R. ,S.R. ,  193 ,  8 ,  0 ,  410
Tamaulipas , 1 615 , 2 166 , 1 871 ,  119 ,  1 ,  179 ,  0 ,  28 ,  87
Tlaxcala ,  481 ,  708 ,  294 ,  11 ,  61 ,S.R. ,  2 ,S.R. ,  0
Veracruz , 2 275 , 4 670 , 1 871 ,  719 ,  59 ,  426 ,  167 ,  52 ,  21
Yucatán ,  503 ,  754 ,  608 ,  244 ,  3 ,S.R. ,  0 ,  0 ,  254
Zacatecas ,  578 ,  627 ,  135 ,  213 ,  30 ,S.R. ,  4 ,S.R. ,  90
