Estado,Salud,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes,1849, 1 274 ,  955 ,S.R. ,  2 ,S.R. ,  3 ,S.R. , 1 857 
Baja California,5365, 8 514 ,  963 ,  241 ,S.R. ,S.R. ,  14 ,  12 , 1 528 
Baja California Sur,750,  926 ,  126 ,S.R. ,S.R. ,S.R. ,  3 ,  1 ,S.R. 
Campeche,1243,  547 ,  241 ,  250 ,  3 ,  48 ,  3 ,  29 ,  1 
Coahuila,1009, 3 666 , 6 510 ,  328 ,  4 ,S.R. ,  3 ,S.R. , 1 741 
Colima,935,  750 ,  20 ,S.R. ,  7 ,S.R. ,  6 ,  5 ,  64 
Chiapas,4920, 3 613 , 3 152 , 1 253 ,S.R. ,  57 ,  226 ,  42 ,  251 
Chihuahua,4392, 8 301 , 1 082 ,  335 ,S.R. ,S.R. ,  108 ,S.R. , 3 782 
Distrito Federal,12288, 7 629 , 7 820 ,  34 ,  290 ,  299 ,  354 ,  125 , 1 768 
Durango,1328, 3 168 , 3 586 ,  421 ,  0 ,S.R. ,  5 ,S.R. ,  860 
Guanajuato,8155, 5 626 ,  999 ,  77 ,S.R. ,  112 ,  101 ,S.R. ,  876 
Guerrero,6663, 3 288 , 3 636 ,  142 ,S.R. ,S.R. ,  134 ,  206 ,  0 
Hidalgo,4083, 1 929 , 1 237 ,  925 ,  0 ,  112 ,  4 ,S.R. ,  37 
Jalisco,6790, 13 860 , 3 824 ,  35 ,  114 ,  19 ,  44 ,  33 , 8 825 
México,24858, 11 812 , 5 961 ,  205 , 5 123 ,S.R. ,  702 ,S.R. , 9 466 
Michoacán,4251, 3 767 , 3 277 , 1 455 ,S.R. ,S.R. ,  0 ,  8 ,S.R. 
Morelos,2551, 5 126 , 4 200 ,  41 ,S.R. ,S.R. ,  12 ,S.R. ,S.R. 
Nayarit,1026, 1 078 , 1 486 ,  359 ,  54 ,S.R. ,  0 ,  3 ,  65 
Nuevo León,3251, 8 843 ,  652 ,  13 ,S.R. ,  87 ,  107 ,S.R. , 4 003 
Oaxaca,5043, 2 211 , 2 222 , 2 143 ,  81 ,  164 ,  29 ,  23 ,  85 
Puebla,4686, 6 449 , 2 166 , 1 590 ,  91 ,  81 ,  7 ,S.R. , 1 323 
Querétaro,2293, 1 784 ,  572 ,  5 ,  60 ,S.R. ,  28 ,S.R. ,  149 
Quintana Roo,1575, 1 265 ,  401 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,  0 
San Luis Potosí,4382, 4 501 , 1 575 , 1 399 ,S.R. ,  14 ,  77 ,S.R. ,  162 
Sinaloa,7500, 5 859 ,  654 ,  398 ,  394 ,  9 ,  9 ,  65 , 1 157 
Sonora,2422, 6 320 ,  940 ,  21 ,S.R. ,S.R. ,  1 ,  8 ,  254 
Tabasco,2932, 3 062 ,  823 ,S.R. ,S.R. ,  510 ,  146 ,  36 ,  632 
Tamaulipas,4023, 5 007 , 3 734 ,  381 ,  4 ,  311 ,  20 ,  117 ,  74 
Tlaxcala,1148, 1 523 ,  877 ,  31 ,  119 ,S.R. ,  4 ,S.R. ,  53 
Veracruz,7741, 10 182 , 3 465 , 2 848 ,  79 ,  923 ,  349 ,  591 ,  69 
Yucatán,1409, 3 096 , 1 038 ,  588 ,  26 ,S.R. ,  80 ,  0 ,  428 
Zacatecas,1851, 1 719 ,  284 ,  919 ,  75 ,S.R. ,  5 ,S.R. ,  212 
